<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>
2020.04.02	09:03:35.930			5256.0	10.00000000
2020.04.02	09:03:38.570	5255.0			
2020.04.02	09:03:38.570		5256.0		
2020.04.02	09:03:38.614			5255.5	5.00000000
2020.04.02	09:03:38.614			5255.5	5.00000000
2020.04.02	09:03:38.614			5255.0	5.00000000
2020.04.02	09:03:38.614			5255.0	5.00000000
2020.04.02	09:03:39.326		5256.5		
2020.04.02	09:03:39.328	5255.5			
2020.04.02	09:03:39.570			5255.5	5.00000000
2020.04.02	09:03:39.570			5255.5	5.00000000
2020.04.02	09:03:39.570			5255.5	5.00000000
2020.04.02	09:03:39.574			5255.5	5.00000000
2020.04.02	09:03:39.611			5256.0	5.00000000
2020.04.02	09:03:39.710	5255.0			
2020.04.02	09:03:40.047			5255.0	5.00000000
2020.04.02	09:03:40.047			5255.0	5.00000000
2020.04.02	09:03:40.047			5254.5	5.00000000
2020.04.02	09:03:40.047			5254.5	5.00000000
2020.04.02	09:03:40.090	5255.5			
2020.04.02	09:03:40.094	5255.0			
2020.04.02	09:03:40.095		5256.0		
2020.04.02	09:03:40.097	5254.5			
2020.04.02	09:03:40.098	5254.0			
2020.04.02	09:03:40.099		5255.5		
2020.04.02	09:03:40.100	5254.5			
2020.04.02	09:03:40.100		5255.0		
2020.04.02	09:03:40.102		5255.5		
2020.04.02	09:03:40.849	5255.0			
2020.04.02	09:03:40.854		5256.0		
2020.04.02	09:03:41.231	5254.5			
2020.04.02	09:03:41.231		5255.5		
2020.04.02	09:03:41.284			5255.0	5.00000000
2020.04.02	09:03:41.598			5255.5	5.00000000
2020.04.02	09:03:41.654			5255.0	5.00000000
2020.04.02	09:03:43.320			5255.5	5.00000000
2020.04.02	09:03:43.507		5256.0		
2020.04.02	09:03:43.510		5255.5		
2020.04.02	09:03:43.891		5256.0		
2020.04.02	09:03:44.647	5255.0			
2020.04.02	09:03:45.167			5256.0	5.00000000
2020.04.02	09:03:45.167			5256.0	5.00000000
2020.04.02	09:03:45.167			5256.0	5.00000000
2020.04.02	09:03:45.167			5256.5	5.00000000
2020.04.02	09:03:45.167			5256.5	5.00000000
2020.04.02	09:03:45.167			5256.5	20.00000000
2020.04.02	09:03:45.167			5256.5	5.00000000
2020.04.02	09:03:45.167			5257.0	5.00000000
2020.04.02	09:03:45.167			5257.0	5.00000000
2020.04.02	09:03:45.167			5257.0	5.00000000
2020.04.02	09:03:45.167			5257.0	10.00000000
2020.04.02	09:03:45.167			5257.0	5.00000000
2020.04.02	09:03:45.167			5257.0	5.00000000
2020.04.02	09:03:45.167			5257.0	5.00000000
2020.04.02	09:03:45.167			5257.5	5.00000000
2020.04.02	09:03:45.167			5257.5	5.00000000
2020.04.02	09:03:45.417		5257.5		
2020.04.02	09:03:45.418	5255.5			
2020.04.02	09:03:45.423		5257.0		
2020.04.02	09:03:45.985			5257.0	5.00000000
2020.04.02	09:03:46.557		5257.5		
2020.04.02	09:03:46.598			5257.0	5.00000000
2020.04.02	09:03:46.927		5256.5		
2020.04.02	09:03:47.270			5256.5	5.00000000
2020.04.02	09:03:47.310	5256.0			
2020.04.02	09:03:47.310		5257.5		
2020.04.02	09:03:47.310	5256.5			
2020.04.02	09:03:47.594			5257.5	5.00000000
2020.04.02	09:03:47.778			5257.5	10.00000000
2020.04.02	09:03:47.778			5257.5	10.00000000
2020.04.02	09:03:47.855			5257.5	15.00000000
2020.04.02	09:03:47.858			5257.5	5.00000000
2020.04.02	09:03:47.858			5257.5	10.00000000
2020.04.02	09:03:47.860			5257.5	30.00000000
2020.04.02	09:03:48.092	5257.0			
2020.04.02	09:03:48.095		5258.0		
2020.04.02	09:03:48.097		5258.5		
2020.04.02	09:03:48.097	5257.5			
2020.04.02	09:03:48.684			5258.5	5.00000000
2020.04.02	09:03:48.684			5258.5	5.00000000
2020.04.02	09:03:48.829		5259.0		
2020.04.02	09:03:48.831		5258.5		
2020.04.02	09:03:48.840	5257.0			
2020.04.02	09:03:48.880			5257.5	5.00000000
2020.04.02	09:03:49.210	5257.5			
2020.04.02	09:03:50.729	5258.0			
2020.04.02	09:03:50.923			5258.0	5.00000000
2020.04.02	09:03:50.923			5257.5	5.00000000
2020.04.02	09:03:51.109	5257.5			
2020.04.02	09:03:51.113	5257.0			
2020.04.02	09:03:51.119	5257.5			
2020.04.02	09:03:51.401			5257.5	5.00000000
2020.04.02	09:03:51.492	5257.0			
2020.04.02	09:03:52.359			5257.0	5.00000000
2020.04.02	09:03:52.360			5257.0	5.00000000
2020.04.02	09:03:52.632		5257.5		
2020.04.02	09:03:52.634	5256.5			
2020.04.02	09:03:53.014		5258.0		
2020.04.02	09:03:53.084			5257.5	50.00000000
2020.04.02	09:03:53.354			5257.0	5.00000000
2020.04.02	09:03:53.354			5257.0	5.00000000
